Designator,Mid X,Mid Y,Rotation,Layer
C1,19.86,43.911,180.0,top
C10,30.887,33.02,270.0,top
C11,26.666,45.974,0.0,top
C12,27.568,36.629,180.0,top
C13,27.568,35.105,180.0,top
C14,24.52,35.122,180.0,top
C15,24.52,36.629,180.0,top
C16,24.139,42.926,270.0,top
C17,22.615,42.926,270.0,top
C18,34.172,44.704,270.0,top
C19,32.648,44.704,270.0,top
C2,19.86,37.942,180.0,top
C20,34.68,40.132,0.0,top
C21,34.68,37.084,0.0,top
C22,35.442,33.02,270.0,top
C23,32.394,33.02,270.0,top
C24,19.33,24.0158,270.0,top
C25,20.964,24.0158,270.0,top
C26,25.989,26.035,180.0,top
C27,29.037,26.035,180.0,top
C28,25.214,23.749,90.0,top
C29,29.786,23.749,90.0,top
C3,22.615,45.9,270.0,top
C30,25.976,21.463,0.0,top
C31,29.037,21.463,0.0,top
C32,25.976,19.939,180.0,top
C33,29.024,19.939,180.0,top
C34,37.158978,42.345952,270.0,top
C35,34.934,25.273,0.0,top
C36,34.921,23.749,0.0,top
C37,35.634978,42.345952,270.0,top
C4,30.362,46.873738,180.0,top
C5,22.615,39.116,90.0,top
C6,24.139,39.116,90.0,top
C7,34.68,38.608,0.0,top
C8,34.68,35.56,0.0,top
C9,33.918,33.02,270.0,top
J1,27.5,57.39,270.0,top
J3,27.5,3.53,270.0,top
L1,24.52,33.581,0.0,top
L2,25.849,28.448,315.0,top
L3,29.151,28.448,225.0,top
R1,24.139,45.9,270.0,top
R2,30.362,45.349738,180.0,top
R5,19.313,20.881,270.0,top
R6,20.964,20.881,270.0,top
R7,25.214,17.666,270.0,top
R8,29.786,17.653,270.0,top
U1,28.520637,41.377423,90.0,top
Y1,19.948,40.947,270.0,top
